GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,PLAYER_ID,PLAYER_NAME
"Nov 27, 2024",MEM vs. DET,W,23,9,6,1,0,0,0,1630583,Santi Aldama
"Nov 25, 2024",MEM vs. POR,W,22,13,17,2,0,0,1,1630583,Santi Aldama
"Nov 23, 2024",MEM @ CHI,W,24,10,10,5,2,0,3,1630583,Santi Aldama
"Nov 20, 2024",MEM vs. PHI,W,27,12,6,6,0,0,3,1630583,Santi Aldama
"Nov 19, 2024",MEM vs. DEN,L,33,28,11,0,1,0,3,1630583,Santi Aldama
"Nov 17, 2024",MEM vs. DEN,W,20,6,2,2,2,1,1,1630583,Santi Aldama
"Nov 15, 2024",MEM @ GSW,L,16,4,3,0,0,1,0,1630583,Santi Aldama
"Nov 13, 2024",MEM @ LAL,L,29,15,7,5,3,1,0,1630583,Santi Aldama
"Nov 10, 2024",MEM @ POR,W,30,16,6,6,2,0,2,1630583,Santi Aldama
"Nov 08, 2024",MEM vs. WAS,W,32,12,5,4,1,0,1,1630583,Santi Aldama
"Nov 06, 2024",MEM vs. LAL,W,31,11,12,3,1,0,0,1630583,Santi Aldama
"Nov 04, 2024",MEM @ BKN,L,31,9,6,5,0,0,2,1630583,Santi Aldama
"Nov 02, 2024",MEM @ PHI,W,35,10,13,4,1,1,1,1630583,Santi Aldama
"Oct 31, 2024",MEM vs. MIL,W,33,19,9,2,1,0,3,1630583,Santi Aldama
"Oct 30, 2024",MEM vs. BKN,L,22,2,3,0,2,0,1,1630583,Santi Aldama
"Oct 28, 2024",MEM vs. CHI,L,35,11,13,7,0,1,1,1630583,Santi Aldama
"Oct 26, 2024",MEM vs. ORL,W,28,22,7,5,0,1,2,1630583,Santi Aldama
"Oct 25, 2024",MEM @ HOU,L,22,2,5,3,0,2,2,1630583,Santi Aldama
"Oct 23, 2024",MEM @ UTA,W,31,27,5,2,0,0,2,1630583,Santi Aldama
